id,post_at_jst,text,reply_text,status,tweet_id,posted_at_jst,reply_tweet_id,reply_posted_at_jst,last_error,last_attempt_at_jst
1,2026-01-28 08:00,朝は『5分だけ』でOK ☕️ 着手できたら勝ち。継続は小ささで作れる 🚀,,posted,2016290222175100954,2026-01-28 08:20,,,,2026-01-28 08:20
2,2026-01-28 12:00,切り分けの基本は層で考える 🔍 DNS→TCP→HTTP→アプリ→依存先。順番があると焦らない 🧠,,posted,2016375496611688893,2026-01-28 13:59,,,,2026-01-28 13:59
3,2026-01-28 16:00,【今日のAWSクイズ】🟧 EC2をインターネットに出したい。必須コンポーネントは？\nA. NAT Gateway\nB. Internet Gateway\nC. VPC Peering\nD. Transit Gateway\n答えはコメントで🔥,答え：B（Internet Gateway）✅\nIGWはVPCをインターネットへ接続する入口。NATはPrivate→外向き用だよ！,posted,2016418217141666008,2026-01-28 16:49,2016418226180391295,2026-01-28 16:49,,2026-01-28 16:49
4,2026-01-28 20:00,今日の学びは1つで十分 📘 『次は何を確認する？』が決まれば前進 🌙,,posted,2016477340617068941,2026-01-28 20:43,,,,2026-01-28 20:43
5,2026-01-29 08:00,完璧より継続 🌱 1行でも進めたら合格点。今日も小さくいこう 🚀,,posted,2016660237915468081,2026-01-29 08:50,,,,2026-01-29 08:50
6,2026-01-29 12:00,HTTPはまずこれだけ🧠 4xx=自分側（入力/認証/権限） 5xx=相手側（サーバ/依存） まず当たりを付ける 🔍,,posted,2016746452807033236,2026-01-29 14:33,,,,2026-01-29 14:33
7,2026-01-29 16:00,【今日のAWSクイズ】🟧 Private Subnetのインスタンスが外へ出る時に使うのは？\nA. IGW\nB. NAT Gateway\nC. ALB\nD. CloudFront,答え：B（NAT Gateway）✅\nPrivateはIGW直行しない。NATで外向き通信だけ通すのが基本！,posted,2016784578556444844,2026-01-29 17:04,2016784587783901272,2026-01-29 17:04,,2026-01-29 17:04
8,2026-01-29 20:00,うまくいかない日でも『投げなかった』なら勝ち 🌙 続けた分は後で効く 📘,,posted,2016843132193665368,2026-01-29 20:57,,,,2026-01-29 20:57
9,2026-01-30 08:00,朝の10分はあなどれない ☀️ 小さな前進が夜の安心になる 🚀,,posted,2017022844484415772,2026-01-30 08:51,,,,2026-01-30 08:51
10,2026-01-30 12:00,接続エラーはIP直打ちで分岐 🔍 通る→DNS/Host/証明書/リバプロ 通らない→FW/SG/NACL/ルート/死活 🧠,,posted,2017109909079302386,2026-01-30 14:37,,,,2026-01-30 14:37
11,2026-01-30 16:00,【今日のAWSクイズ】🟧 Security Groupの特徴は？\nA. ステートレス\nB. ステートフル\nC. サブネット単位\nD. ルート制御,答え：B（ステートフル）✅\n戻り通信は自動許可。NACLはステートレスで両方向ルールが必要！,posted,2017146886671475056,2026-01-30 17:04,2017146895915737570,2026-01-30 17:04,,2026-01-30 17:04
12,2026-01-30 20:00,ログは全部読まない 📝 直前変更→時系列→最初のエラー。順番が武器になる 🌙,,posted,2017204844818305159,2026-01-30 20:54,,,,2026-01-30 20:54
13,2026-01-31 08:00,比べるのは過去の自分だけ 🌱 昨日より少し分かれば前進 🚀,,posted,2017385276382056856,2026-01-31 08:51,,,,2026-01-31 08:51
14,2026-01-31 12:00,タイムアウトは段階で切る 🔍 DNS→TCP(SYN/ACK)→HTTP→アプリ→依存先。一段ずつ潰す 🧠,,posted,2017469624166559776,2026-01-31 14:26,,,,2026-01-31 14:26
15,2026-01-31 16:00,【今日のAWSクイズ】🟧 NACLの特徴は？\nA. ステートフル\nB. インスタンス単位\nC. ステートレス\nD. L7制御,答え：C（ステートレス）✅\n送受信の両方向ルールが必要。NACLはサブネット単位だよ！,posted,2017505969194823736,2026-01-31 16:51,2017505978283872420,2026-01-31 16:51,,2026-01-31 16:51
16,2026-01-31 20:00,反省は1つでいい 📘 『次はこうする』が言えたら勝ち。今日はここまで 🌙,,posted,2017563542493208929,2026-01-31 20:40,,,,2026-01-31 20:40
17,2026-02-01 08:00,朝は深く考えない ☕️ まず着手。気分は後からついてくる 🚀,,posted,2017745595050467655,2026-02-01 08:43,,,,2026-02-01 08:43
18,2026-02-01 12:00,監視アラート初動✅ 影響範囲→直前変更→時系列→最初の異常。型があると強い 📝,,posted,2017842401344426267,2026-02-01 15:08,,,,2026-02-01 15:08
19,2026-02-01 16:00,【今日のAWSクイズ】🟧 CloudFrontの主な役割は？\nA. DNS\nB. CDN\nC. 監視\nD. IAM,答え：B（CDN）✅\nキャッシュで高速配信。オリジン（S3/ALB等）への負荷も下げられる！,posted,2017870274360971684,2026-02-01 16:58,2017870283378725387,2026-02-01 16:58,,2026-02-01 16:58
20,2026-02-01 20:00,今日できたことを1つ思い出す 🌙 小さくても積み上げは裏切らない 📘,,posted,2017926633928192157,2026-02-01 20:42,,,,2026-02-01 20:42
21,2026-02-02 08:00,続けるコツは『小ささ』🌱 5分でも触れたら勝ち。今日も積む 🚀,,posted,2018109828690858147,2026-02-02 08:50,,,,2026-02-02 08:50
22,2026-02-02 12:00,証明書エラーはまずこれ🔐 期限/時刻ズレ/SAN/中間証明書。8割ここで当たる 🧠,,posted,2018206918314164461,2026-02-02 15:16,,,,2026-02-02 15:16
23,2026-02-02 16:00,【今日のAWSクイズ】🟧 Route 53の役割は？\nA. CDN\nB. DNS\nC. WAF\nD. ログ収集,答え：B（DNS）✅\nドメイン→IPなどを解決。ヘルスチェックやルーティングも強い！,posted,2018256213746520092,2026-02-02 18:32,2018256222810435852,2026-02-02 18:32,,2026-02-02 18:32
24,2026-02-02 20:00,迷ったら安全側 📘 手順と順番があると判断が安定する 🌙,,posted,2018293404862718416,2026-02-02 21:00,,,,2026-02-02 21:00
25,2026-02-03 08:00,今日は一歩で十分 🌱 続いてることがいちばん強い 🚀,,posted,2018473444263035165,2026-02-03 08:55,,,,2026-02-03 08:55
26,2026-02-03 12:00,『遅い』は層を当てる 🔍 DNS/再送/TLS/DB/外部API。どこで時間が増えた？を見にいく 🧠,,posted,2018566475049476228,2026-02-03 15:05,,,,2026-02-03 15:05
27,2026-02-03 16:00,【今日のAWSクイズ】🟧 CloudTrailが記録するのは？\nA. OSログ\nB. API操作履歴\nC. パケット\nD. メトリクス,答え：B（API操作履歴）✅\n誰が何をいつしたか。監査・原因追跡で超重要！,posted,2018596674764173448,2026-02-03 17:05,2018596683924586900,2026-02-03 17:05,,2026-02-03 17:05
28,2026-02-03 20:00,知識は遅れて効く 🌙 今日の小さな理解が、ある日まとめて効いてくる 📘,,posted,2018655783903437011,2026-02-03 21:00,,,,2026-02-03 21:00
29,2026-02-04 08:00,朝に動けたらそれだけで勝ち ☀️ まず1つ終わらせよう 🚀,,posted,2018835469166141516,2026-02-04 08:54,,,,2026-02-04 08:54
30,2026-02-04 12:00,ログは『直前変更→時系列→最初の異常』📝 見る範囲を決めると速くなる 🔍,,posted,2018922057678090439,2026-02-04 14:38,,,,2026-02-04 14:38
31,2026-02-04 16:00,【今日のAWSクイズ】🟧 S3の公開事故を防ぐ設定は？\nA. ACL\nB. CORS\nC. Block Public Access\nD. Lifecycle,答え：C（Block Public Access）✅\nまずBPAで守る＋必要ならBucket Policyで最小公開が基本！,posted,2018975205558014434,2026-02-04 18:09,2018975214579912816,2026-02-04 18:09,,2026-02-04 18:09
32,2026-02-04 20:00,今日は完璧じゃなかった。でも投げなかった 📘 それで十分 🌙,,posted,2019017899856245000,2026-02-04 20:59,,,,2026-02-04 20:59
33,2026-02-05 08:00,継続は『やる気』より『仕組み』☕️ 時間を決めて淡々とやる 🚀,,posted,2019197913692319777,2026-02-05 08:54,,,,2026-02-05 08:54
34,2026-02-05 12:00,切り分けは仮説→確認🔁 1つ当てて1つ消す。いきなり全部触らない 🧠,,posted,2019292936219897983,2026-02-05 15:12,,,,2026-02-05 15:12
35,2026-02-05 16:00,【今日のAWSクイズ】🟧 EBSスナップショットの保存先は？\nA. EC2\nB. S3（マネージド）\nC. EFS\nD. DynamoDB,答え：B（S3に管理保存）✅\nユーザーはS3を意識しないけど、実体はS3に保存されるよ！,queued,,,,,,
36,2026-02-05 20:00,今日の反省は1つでいい 📘 次の一手が決まったら前進 🌙,,queued,,,,,,
37,2026-02-06 08:00,小さく始めて続ける 🌱 それだけで未来は変わる 🚀,,queued,,,,,,
38,2026-02-06 12:00,デプロイ前の最低チェック✅ 影響範囲/戻し手順/監視ポイント。『戻れる』が強さ 🧠,,queued,,,,,,
39,2026-02-06 16:00,【今日のAWSクイズ】🟧 Auto Scaling Groupの役割は？\nA. DNS\nB. 台数の自動調整\nC. ログ収集\nD. 権限管理,答え：B（台数の自動調整）✅\n負荷やスケジュールで増減。安定運用の基礎！,queued,,,,,,
40,2026-02-06 20:00,今日できた判断を1つ覚えておく 📘 次にきっと役立つ 🌙,,queued,,,,,,
41,2026-02-07 08:00,気分が乗らない朝ほど先に手を動かす ☕️ 気持ちは後からついてくる 🚀,,queued,,,,,,
42,2026-02-07 12:00,IAMの基本：Denyは最優先🧠 Allowより強い。迷ったら最小権限で組む 🔍,,queued,,,,,,
43,2026-02-07 16:00,【今日のAWSクイズ】🟧 IAMポリシー評価で『明示的Deny』は？\nA. Allowより弱い\nB. 最優先で拒否\nC. 影響しない\nD. 条件次第,答え：B（最優先で拒否）✅\n明示Denyがあると、どんなAllowがあっても拒否される！,queued,,,,,,
44,2026-02-07 20:00,詰まっても『候補を絞れた』なら成果 📘 切り分けが進んでる 🌙,,queued,,,,,,
45,2026-02-08 08:00,朝の一歩が一日を作る 🚀 まず1行、まず1つ。そこから始まる ☀️,,queued,,,,,,
46,2026-02-08 12:00,障害対応で強いメモ📝 いつから/どこで/何が/何を試した。これがあるとチームが速い 🔥,,queued,,,,,,
47,2026-02-08 16:00,【今日のAWSクイズ】🟧 CloudWatchで『ログ』を見るのは？\nA. Logs\nB. Metrics\nC. CloudTrail\nD. Config,答え：A（CloudWatch Logs）✅\nメトリクスはMetrics。操作履歴はCloudTrailだよ！,queued,,,,,,
48,2026-02-08 20:00,今日の経験は無駄じゃない 🌙 ちゃんと積まれて、必要な時に出てくる 📘,,queued,,,,,,
49,2026-02-09 08:00,完璧より継続 🌱 止まらなければ進んでる 🚀,,queued,,,,,,
50,2026-02-09 12:00,『繋がるけど遅い』は要注意🔍 リトライ地獄や接続枯渇も。タイムアウトとコネクション数を見る 🧠,,queued,,,,,,
51,2026-02-09 16:00,【今日のAWSクイズ】🟧 ALBが得意なのは？\nA. BGP\nB. パスベース振り分け\nC. CIDR計算\nD. IAM管理,答え：B（パスベース振り分け）✅\nALBはL7で柔軟にルーティングできる！,queued,,,,,,
52,2026-02-09 20:00,今日はここまでで十分 🌙 区切りをつけるのも大事 📘,,queued,,,,,,
53,2026-02-10 08:00,続いていること自体が強み 🌱 今日も小さく1つだけ 🚀,,queued,,,,,,
54,2026-02-10 12:00,DNSトラブルはまずdig🔍 解決できる？ traceでどこで止まる？ TTLも見る。最初に見ると遠回り減る 🧠,,queued,,,,,,
55,2026-02-10 16:00,【今日のAWSクイズ】🟧 Private Subnetの定義に近いのは？\nA. IGWへのルートがある\nB. IGWへのルートがない\nC. NATが必須\nD. ALBが必須,答え：B（IGWへのルートがない）✅\n“外から直接来れない”がポイント。外向き通信はNATで作る！,queued,,,,,,
